Struthioniformes;Struthionidae;Ostriches;Ostriches;"Struthio camelus";"Common Ostrich";Struisvogel;0;;
Struthioniformes;Struthionidae;Ostriches;Ostriches;"Struthio molybdophanes";"Somali Ostrich";"Somalische Struisvogel";0;;
Rheiformes;Rheidae;Rheas;Rheas;"Rhea americana";"Greater Rhea";Nandoe;1;birds/rhea-americana/large.jpg;birds/rhea-americana/thumb.jpg
Rheiformes;Rheidae;Rheas;Rheas;"Rhea pennata";"Lesser Rhea";"Darwins Nandoe";0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Nothocercus julius";"Tawny-breasted Tinamou";Roodkoptinamoe;0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Nothocercus bonapartei";"Highland Tinamou";Bergtinamoe;0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Nothocercus nigrocapillus";"Hooded Tinamou";Zwartkaptinamoe;0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Tinamus tao";"Gray Tinamou";"Grijze Tinamoe";0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Tinamus solitarius";"Solitary Tinamou";Kluizenaarstinamoe;0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Tinamus osgoodi";"Black Tinamou";"Zwarte Tinamoe";0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Tinamus major";"Great Tinamou";"Grote Tinamoe";0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Tinamus guttatus";"White-throated Tinamou";Witkeeltinamoe;0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Crypturellus cinereus";"Cinereous Tinamou";"Grauwe Tinamoe";0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Crypturellus berlepschi";"Berlepsch's Tinamou";"Berlepsch' Tinamoe";0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Crypturellus soui";"Little Tinamou";"Kleine Tinamoe";0;;
Tinamiformes;Tinamidae;Tinamous;Tinamous;"Crypturellus ptaritepui";"Tepui Tinamou";Tepuitinamoe;0;;
